model,accuracy,precision,recall,f1,roc_auc,total_cost
LogisticRegression (threshold=0.50),0.7256574271499645,0.4900990099009901,0.7941176470588235,0.6061224489795919,0.8353828990894079,69400
"LogisticRegression (threshold=0.34, cost-optimal)",0.652452025586354,0.42785445420326224,0.9117647058823529,0.5824081981212639,0.8353828990894079,62100
XGBoost (threshold=0.50),0.7391613361762616,0.506108202443281,0.7754010695187166,0.6124604012671595,0.8283425048273291,70300
"XGBoost (threshold=0.14, cost-optimal)",0.5778251599147122,0.3829787234042553,0.9625668449197861,0.547945205479452,0.8283425048273291,65000
